,,,,,,,,,,,,,,,,,,
,Ore Signatures,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Average Frontier Deposit,,,,,,,,,,,,,,,,,
,Ore Signature,,,,Effect(s),,,,,,Orbit,,,,,,Blue Loot,"$4,200,000"
,,Qty,Sleeper,Class,Scram,Web,Neut,RRep,Sig,Speed,Distance,Velocity,DPS,Alpha,EHP,,ISK/EHP,$149
,Defenders,,,,,,,,,,,,91,777,"28,167",,,
,,3,Emergent Patroller,F,0,0,0,0,35,"1,750","8,000",250,16,115,"3,000",,Ore Value,"$1,342,087,900"
,,1,Awakened Patroller,C,0,0,0,0,150,"1,190","15,000",170,42,432,"19,167",,,
,,,,Units,m3,ISK/m3,ISK,,,,,,,,,,,
,Ore,,,,,,,,,,,,,,,,,
,,,Arkonor,"30,000","480,000",$194,"$93,068,700",,,,,,,,,,,
,,,Bistot,"40,000","640,000",$156,"$100,031,200",,,,,,,,,,,
,,,Crokite,0,0,$0,$0,,,,,,,,,,,
,,,Dark Ochre,0,0,$0,$0,,,,,,,,,,,
,,,Gneiss,"450,000","2,250,000",$422,"$948,636,000",,,,,,,,,,,
,,,Hedbergite,0,0,$0,$0,,,,,,,,,,,
,,,Hemorphite,0,0,$0,$0,,,,,,,,,,,
,,,Jaspet,0,0,$0,$0,,,,,,,,,,,
,,,Kernite,"300,000","360,000",$401,"$144,354,000",,,,,,,,,,,
,,,Mercoxit,,0,$0,$0,,,,,,,,,,,
,,,Omber,"300,000","180,000",$217,"$39,051,000",,,,,,,,,,,
,,,Plagioclase,0,0,$0,$0,,,,,,,,,,,
,,,Pyroxeres,"700,000","210,000",$81,"$16,947,000",,,,,,,,,,,
,,,Scordite,0,0,$0,$0,,,,,,,,,,,
,,,Spodumain,0,0,$0,$0,,,,,,,,,,,
,,,Veldspar,0,0,$0,$0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Common Perimeter Deposit,,,,,,,,,,,,,,,,,
,Ore Signature,,,,Effect(s),,,,,,Orbit,,,,,,Blue Loot,"$2,000,000"
,,Qty,Sleeper,Class,Scram,Web,Neut,RRep,Sig,Speed,Distance,Velocity,DPS,Alpha,EHP,,ISK/EHP,$133
,Defenders,,,,,,,,,,,,82,575,"15,000",,,
,,5,Emergent Patroller,F,0,0,0,0,35,"1,750","8,000",250,16,115,"3,000",,Ore Value,"$417,386,600"
,,,,Units,m3,ISK/m3,ISK,,,,,,,,,,,
,Ore,,,,,,,,,,,,,,,,,
,,,Arkonor,"20,000","320,000",$194,"$62,045,800",,,,,,,,,,,
,,,Bistot,"30,000","480,000",$156,"$75,023,400",,,,,,,,,,,
,,,Crokite,0,0,$0,$0,,,,,,,,,,,
,,,Dark Ochre,0,0,$0,$0,,,,,,,,,,,
,,,Gneiss,"40,000","200,000",$422,"$84,323,200",,,,,,,,,,,
,,,Hedbergite,0,0,$0,$0,,,,,,,,,,,
,,,Hemorphite,0,0,$0,$0,,,,,,,,,,,
