,,,,,,,,,,,,,,,,,,
,Class 5,,,,,,,,,,,,,,,,,
,,,"
DTA = Ship that triggers the Decloaked Transmission Array spawn",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Core Garrison,,,,,,,,,,,,,,,,,
,Anomaly,,,,Effect(s),,,,,,Orbit,,,,,,Blue Loot,"$253,400,000"
,,Qty,Sleeper,Class,Scram,Web,Neut,RRep,Sig,Speed,Distance,Velocity,DPS,Alpha,EHP,,ISK/EHP,$143
,Wave 1,,, ,5,10,,,,,,,807,"9,135","315,333",,,
,,3,Restless Sentry Tower,T,0,0,0,0,50,0,0,0,94,"1,404","23,833",,,
,,5,Emergent Sentinel,F,1,1,0,0,35,"2,610","6,500",290,29,207,"6,600",,,
,Trigger,5,Awakened Sentinel,C,0,1,0,0,150,"1,800","15,000",200,76,778,"42,167",,,
,Wave 2,,,,3,3,-72,156,,,,,"1,528","18,263","469,543",,,
,Trigger,6,Emergent Keeper,F,0,0,-3,26,35,"2,880","5,000",320,22,171,"4,400",,,
,,3,Sleepless Sentinel,B,1,1,-18,0,400,"1,125","19,000",125,465,"5,746","147,714",,,
,Wave 3,,,,6,11,-72,,,,,,"1,941","22,561","711,726",,,
,DTA,5,Awakened Sentinel,C,0,1,0,0,150,"1,800","15,000",200,76,778,"42,167",,,
,,3,Awakened Keeper,C,1,1,-6,0,150,"2,115","30,000",235,56,479,"19,250",,,
,Trigger,3,Sleepless Sentinel,B,1,1,-18,0,400,"1,125","19,000",125,465,"5,746","147,714",,,
,Wave 4,,,,3,5,-33,,,,,,"1,403","10,036","270,170",,,
,,3,Emergent Warden,F,1,1,-3,0,35,"3,150","5,000",350,41,293,"2,860",,,
,,2,Awakened Sentinel,C,0,1,0,0,150,"1,800","15,000",200,76,778,"42,167",,,
,,2,Sleepless Keeper,B,0,0,-12,0,400,945,"65,000",105,565,"3,802","88,629",,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Core Stronghold,,,,,,,,,,,,,,,,,
,Anomaly,,,,Effect(s),,,,,,Orbit,,,,,,Blue Loot,"$234,900,000"
,,Qty,Sleeper,Class,Scram,Web,Neut,RRep,Sig,Speed,Distance,Velocity,DPS,Alpha,EHP,,ISK/EHP,$145
,Wave 1,,,,4,4,,,,,,,679,"9,252","169,400",,,
,,6,Restless Sentry Tower,T,0,0,0,0,50,0,0,0,94,"1,404","23,833",,,
,Trigger,4,Emergent Sentinel,F,1,1,0,0,35,"2,610","6,500",290,29,207,"6,600",,,
,Wave 2,,,,,,-24,146,,,,,"1,922","20,362","447,124",,,
,,2,Sleepless Keeper,B,0,0,-12,0,400,945,"65,000",105,565,"3,802","88,629",,,
,Trigger,2,Sleepless Warden,B,0,0,0,73,400,"1,305","55,000",145,396,"6,379","134,933",,,
,Wave 3,,,,6,13,-18,,,,,,774,"7,198","312,327",,,
,,6,Emergent Warden,F,1,1,-3,0,35,"3,150","5,000",350,41,293,"2,860",,,
,Trigger,7,Awakened Sentinel,C,0,1,0,0,150,"1,800","15,000",200,76,778,"42,167",,,
,Wave 4,,,,,,-24,451,,,,,"2,714","29,520","687,657",,,
,,4,Awakened Warden,C,0,0,0,58,150,"1,485","45,000",165,99,695,"26,400",,,
,DTA,2,Sleepless Keeper,B,0,0,-12,0,400,945,"65,000",105,565,"3,802","88,629",,,
,,3,Sleepless Warden,B,0,0,0,73,400,"1,305","55,000",145,396,"6,379","134,933",,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Forgotten Core Data Field,,,,,,,,,,,,,,,,,
,Relic Signature,,,,Effect(s),,,,,,Orbit,,,,,,Blue Loot,"$279,000,000"
