,,,,,,,,,,,,,,,,,,
,Class 3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Forgotten Frontier Quarantine Outpost,,,,,,,,,,,,,,,,,
,Relic Signature,,,,Effect(s),,,,,,Orbit,,,,,,Blue Loot,"$79,400,000"
,,Qty,Sleeper,Class,Scram,Web,Neut,RRep,Sig,Speed,Distance,Velocity,DPS,Alpha,EHP,,ISK/EHP,$153
,Wave 1,,,,,6,,156,,,,,368,"2,587","75,600",,,
,,6,Emergent Defender,F,0,1,0,0,35,"2,160","6,500",270,23,161,"4,200",,,
,Trigger,3,Awakened Preserver,C,0,0,0,52,150,"1,240","45,000",155,77,540,"16,800",,,
,Wave 2,,,,,3,-18,104,,,,,462,"4,012","150,850",,,
,Trigger,3,Awakened Defender,C,0,0,0,0,150,"1,480","15,000",185,59,605,"26,833",,,
,,2,Awakened Preserver,C,0,0,0,52,150,"1,240","45,000",155,77,540,"16,800",,,
,,3,Awakened Upholder,C,0,1,-6,0,150,"1,728","30,000",216,43,372,"12,250",,,
,Wave 3,,,,,1,-12,76,,,,,431,"5,001","105,200",,,
,Trigger,4,Emergent Upholder,F,0,0,-3,19,35,"2,400","5,000",300,17,133,"2,800",,,
,,1,Sleepless Defender,B,0,1,0,0,400,920,"19,000",115,362,"4,469","94,000",,,
,Wave 4,,,,,4,,130,,,,,707,"10,567","188,533",,,
,,4,Emergent Defender,F,0,1,0,0,35,"2,160","6,500",270,23,161,"4,200",,,
,,2,Sleepless Preserver,B,0,0,0,65,400,"1,080","55,000",135,308,"4,962","85,867",,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Forgotten Frontier Recursive Depot,,,,,,,,,,,,,,,,,
,Relic Signature,,,,Effect(s),,,,,,Orbit,,,,,,Blue Loot,"$92,500,000"
,,Qty,Sleeper,Class,Scram,Web,Neut,RRep,Sig,Speed,Distance,Velocity,DPS,Alpha,EHP,,ISK/EHP,$177
,Wave 1,,,,4,4,-12,,,,,,244,"2,120","60,947",,,
,,4,Emergent Preserver,F,1,1,-3,0,35,"2,600","5,000",325,32,228,"1,820",,,
,Trigger,2,Awakened Defender,C,0,0,0,0,150,"1,480","15,000",185,59,605,"26,833",,,
,Wave 2,,,,,4,-24,,,,,,351,"3,304","129,500",,,
,Trigger,3,Awakened Defender,C,0,0,0,0,150,"1,480","15,000",185,59,605,"26,833",,,
,,4,Awakened Upholder,C,0,1,-6,0,150,"1,728","30,000",216,43,372,"12,250",,,
,Wave 3,,,,,4,-32,,,,,,"1,011","6,980","145,700",,,
,,2,Emergent Defender,F,0,1,0,0,35,"2,160","6,500",270,23,161,"4,200",,,
,,2,Awakened Upholder,C,0,1,-6,0,150,"1,728","30,000",216,43,372,"12,250",,,
,Trigger,2,Sleepless Upholder,B,0,0,-10,0,400,800,"65,000",100,439,"2,957","56,400",,,
,Wave 4,,,,2,3,-42,,,,,,"1,424","9,698","185,090",,,
,,2,Emergent Preserver,F,1,1,-3,0,35,"2,600","5,000",325,32,228,"1,820",,,
,,1,Awakened Upholder,C,0,1,-6,0,150,"1,728","30,000",216,43,372,"12,250",,,
,,3,Sleepless Upholder,B,0,0,-10,0,400,800,"65,000",100,439,"2,957","56,400",,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Fortification Frontier Stronghold,,,,,,,,,,,,,,,,,
,Anomaly,,,,Effect(s),,,,,,Orbit,,,,,,Blue Loot,"$41,100,000"
,,Qty,Sleeper,Class,Scram,Web,Neut,RRep,Sig,Speed,Distance,Velocity,DPS,Alpha,EHP,,ISK/EHP,$147
,Wave 1,,,,,2,,,,,,,164,"1,532","62,067",,,
,,2,Emergent Defender,F,0,1,0,0,35,"2,160","6,500",270,23,161,"4,200",,,
,Trigger,2,Awakened Defender,C,0,0,0,0,150,"1,480","15,000",185,59,605,"26,833",,,
,Wave 2,,,,,2,-12,,,,,,205,"1,954","78,167",,,
,,2,Awakened Defender,C,0,0,0,0,150,"1,480","15,000",185,59,605,"26,833",,,
,Trigger,2,Awakened Upholder,C,0,1,-6,0,150,"1,728","30,000",216,43,372,"12,250",,,
,Wave 3,,,,,1,-16,52,,,,,678,"5,079","139,117",,,
,,2,Awakened Defender,C,0,0,0,0,150,"1,480","15,000",185,59,605,"26,833",,,
,,1,Awakened Preserver,C,0,0,0,52,150,"1,240","45,000",155,77,540,"16,800",,,
,,1,Awakened Upholder,C,0,1,-6,0,150,"1,728","30,000",216,43,372,"12,250",,,
,,1,Sleepless Upholder,B,0,0,-10,0,400,800,"65,000",100,439,"2,957","56,400",,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Outpost Frontier Stronghold,,,,,,,,,,,,,,,,,
,Anomaly,,,,Effect(s),,,,,,Orbit,,,,,,Blue Loot,"$45,100,000"
,,Qty,Sleeper,Class,Scram,Web,Neut,RRep,Sig,Speed,Distance,Velocity,DPS,Alpha,EHP,,ISK/EHP,$100
,Wave 1,,,,,1,,,,,,,580,"7,745","139,500",,,
,,3,Wakeful Sentry Tower,T,0,0,0,0,50,0,0,0,73,"1,092","15,167",,,
,Trigger,1,Sleepless Defender,B,0,1,0,0,400,920,"19,000",115,362,"4,469","94,000",,,
,Wave 2,,,,,,,,,,,,236,"2,419","107,333",,,
,Trigger,4,Awakened Defender,C,0,0,0,0,150,"1,480","15,000",185,59,605,"26,833",,,
,Wave 3,,,,,6,,,,,,,814,"9,582","204,800",,,
,,4,Emergent Defender,F,0,1,0,0,35,"2,160","6,500",270,23,161,"4,200",,,
,,2,Sleepless Defender,B,0,1,0,0,400,920,"19,000",115,362,"4,469","94,000",,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Solar Cell,,,,,,,,,,,,,,,,,
,Anomaly,,,,Effect(s),,,,,,Orbit,,,,,,Blue Loot,"$43,000,000"
,,Qty,Sleeper,Class,Scram,Web,Neut,RRep,Sig,Speed,Distance,Velocity,DPS,Alpha,EHP,,ISK/EHP,$96
,Wave 1,,,,1,3,-9,,,,,,437,"5,069","108,070",,,
,Trigger,1,Emergent Preserver,F,1,1,-3,0,35,"2,600","5,000",325,32,228,"1,820",,,
,,1,Awakened Upholder,C,0,1,-6,0,150,"1,728","30,000",216,43,372,"12,250",,,
,Opt,1,Sleepless Defender,B,0,1,0,0,400,920,"19,000",115,362,"4,469","94,000",,,
,Wave 2,,,,,3,-12,38,,,,,301,"2,775","106,750",,,
,,2,Emergent Defender,F,0,1,0,0,35,"2,160","6,500",270,23,161,"4,200",,,
,Trigger,2,Emergent Upholder,F,0,0,-3,19,35,"2,400","5,000",300,17,133,"2,800",,,
,,3,Awakened Defender,C,0,0,0,0,150,"1,480","15,000",185,59,605,"26,833",,,
,,1,Awakened Upholder,C,0,1,-6,0,150,"1,728","30,000",216,43,372,"12,250",,,
,Wave 3,,,,,1,,65,,,,,787,"10,640","233,533",,,
