,,,,,,,,,,,,,,,,,,
,Class 1,,,Credit to Rykki Atruin for creating the original guide,,,,,,,,,,,,,,
,,,,Credit to Karr for modifying the original guide,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Forgotten Perimeter Coronation Platform,,,,,,,,,,,,,,,,,
,Relic Signature,,,,Effect(s),,,,,,Orbit,,,,,,Blue Loot,"$12,800,000"
,,Qty,Sleeper,Class,Scram,Web,Neut,RRep,Sig,Speed,Distance,Velocity,DPS,Alpha,EHP,,ISK/EHP,$72
,Wave 1,,,,,1,,,,,,,139,"1,257","45,633",,,
,,1,Emergent Escort,F,0,1,0,0,35,"2,100","5,000",300,23,163,"1,300",,,
,Trigger,2,Emergent Patroller,F,0,0,0,0,35,"1,750","8,000",250,16,115,"3,000",,,
,,2,Awakened Patroller,C,0,0,0,0,150,"1,190","15,000",170,42,432,"19,167",,,
,Wave 2,,,,,1,,,,,,,149,"1,459","58,800",,,
,,1,Emergent Escort,F,0,1,0,0,35,"2,100","5,000",300,23,163,"1,300",,,
,Trigger,3,Awakened Patroller,C,0,0,0,0,150,"1,190","15,000",170,42,432,"19,167",,,
,Wave 3,,,,,,-18,,,,,,226,"2,007","73,583",,,
,,3,Emergent Patroller,F,0,0,0,0,35,"1,750","8,000",250,16,115,"3,000",,,
,,2,Awakened Patroller,C,0,0,0,0,150,"1,190","15,000",170,42,432,"19,167",,,
,,3,Awakened Watchman,C,0,0,-6,0,150,"1,400","30,000",200,31,266,"8,750",,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Forgotten Perimeter Power Array,,,,,,,,,,,,,,,,,
,Relic Signature,,,,Effect(s),,,,,,Orbit,,,,,,Blue Loot,"$9,200,000"
,,Qty,Sleeper,Class,Scram,Web,Neut,RRep,Sig,Speed,Distance,Velocity,DPS,Alpha,EHP,,ISK/EHP,$84
,Wave 1,,,,,,,,,,,,84,864,"38,333",,,
,Trigger,2,Awakened Patroller,C,0,0,0,0,150,"1,190","15,000",170,42,432,"19,167",,,
,Wave 2,,,,,,-9,,,,,,147,"1,057","30,000",,,
,,3,Emergent Watchman,F,0,0,-3,0,35,"1,925","5,000",275,12,95,"2,000",,,
,Trigger,2,Awakened Escort,C,0,0,0,0,150,980,"45,000",140,55,386,"12,000",,,
,Wave 3,,,,,,-12,,,,,,172,"1,304","41,500",,,
,,2,Awakened Escort,C,0,0,0,0,150,980,"45,000",140,55,386,"12,000",,,
,,2,Awakened Watchman,C,0,0,-6,0,150,"1,400","30,000",200,31,266,"8,750",,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Perimeter Ambush Point,,,,,,,,,,,,,,,,,
,Anomaly,,,,Effect(s),,,,,,Orbit,,,,,,Blue Loot,"$8,600,000"
,,Qty,Sleeper,Class,Scram,Web,Neut,RRep,Sig,Speed,Distance,Velocity,DPS,Alpha,EHP,,ISK/EHP,$66
,Wave 1,,,,,1,,,,,,,182,"2,109","34,967",,,
,,2,Vigilant Sentry Tower,T,0,0,0,0,50,0,0,0,52,780,"10,833",,,
,,1,Emergent Escort,F,0,1,0,0,35,"2,100","5,000",300,23,163,"1,300",,,
,Trigger,1,Awakened Escort,C,0,0,0,0,150,980,"45,000",140,55,386,"12,000",,,
,Wave 2,,,,,,,,,,,,159,"1,117","33,000",,,
,,3,Emergent Patroller,F,0,0,0,0,35,"1,750","8,000",250,16,115,"3,000",,,
,Trigger,2,Awakened Escort,C,0,0,0,0,150,980,"45,000",140,55,386,"12,000",,,
,Wave 3,,,,,,,,,,,,194,"1,636","62,333",,,
,,2,Awakened Escort,C,0,0,0,0,150,980,"45,000",140,55,386,"12,000",,,
,,2,Awakened Patroller,C,0,0,0,0,150,"1,190","15,000",170,42,432,"19,167",,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Perimeter Camp,,,,,,,,,,,,,,,,,
,Anomaly,,,,Effect(s),,,,,,Orbit,,,,,,Blue Loot,"$9,600,000"
,,Qty,Sleeper,Class,Scram,Web,Neut,RRep,Sig,Speed,Distance,Velocity,DPS,Alpha,EHP,,ISK/EHP,$77
,Wave 1,,,,,,-6,,,,,,194,"2,210","37,667",,,
,,2,Vigilant Sentry Tower,T,0,0,0,0,50,0,0,0,52,780,"10,833",,,
,,4,Emergent Patroller,F,0,0,0,0,35,"1,750","8,000",250,16,115,"3,000",,,
,Trigger,2,Emergent Watchman,F,0,0,-3,0,35,"1,925","5,000",275,12,95,"2,000",,,
,Wave 2,,,,,,-9,,,,,,128,"1,062","34,167",,,
,,3,Emergent Patroller,F,0,0,0,0,35,"1,750","8,000",250,16,115,"3,000",,,
,,3,Emergent Watchman,F,0,0,-3,0,35,"1,925","5,000",275,12,95,"2,000",,,
,Trigger,1,Awakened Patroller,C,0,0,0,0,150,"1,190","15,000",170,42,432,"19,167",,,
,Wave 3,,,,,,-6,,,,,,148,"1,360","53,083",,,
,,2,Emergent Patroller,F,0,0,0,0,35,"1,750","8,000",250,16,115,"3,000",,,
,,2,Awakened Patroller,C,0,0,0,0,150,"1,190","15,000",170,42,432,"19,167",,,
,,1,Awakened Watchman,C,0,0,-6,0,150,"1,400","30,000",200,31,266,"8,750",,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Phase Catalyst Node,,,,,,,,,,,,,,,,,
,Anomaly,,,,Effect(s),,,,,,Orbit,,,,,,Blue Loot,"$9,000,000"
,,Qty,Sleeper,Class,Scram,Web,Neut,RRep,Sig,Speed,Distance,Velocity,DPS,Alpha,EHP,,ISK/EHP,$70
,Wave 1,,,,,2,-12,,,,,,302,"3,825","53,933",,,
,1st Death Trigger,4,Vigilant Sentry Tower,T,0,0,0,0,50,0,0,0,52,780,"10,833",,,
,Trigger,2,Emergent Escort,F,0,1,0,0,35,"2,100","5,000",300,23,163,"1,300",,,
,,4,Emergent Watchman,F,0,0,-3,0,35,"1,925","5,000",275,12,95,"2,000",,,
,Wave 2,,,,,,,,,,,,139,"1,250","50,333",,,
,Trigger,1,Awakened Escort,C,0,0,0,0,150,980,"45,000",140,55,386,"12,000",,,
,,2,Awakened Patroller,C,0,0,0,0,150,"1,190","15,000",170,42,432,"19,167",,,
,Wave 3,,,,,,-9,,,,,,135,975,"24,000",,,
,,6,Emergent Patroller,F,0,0,0,0,35,"1,750","8,000",250,16,115,"3,000",,,
,,3,Emergent Watchman,F,0,0,-3,0,35,"1,925","5,000",275,12,95,"2,000",,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,The Line,,,,,,,,,,,,,,,,,
,Anomaly,,,,Effect(s),,,,,,Orbit,,,,,,Blue Loot,"$12,000,000"
,,Qty,Sleeper,Class,Scram,Web,Neut,RRep,Sig,Speed,Distance,Velocity,DPS,Alpha,EHP,,ISK/EHP,$106
,Wave 1,,,,,,-15,,,,,,133,"1,011","26,750",,,
,,4,Emergent Patroller,F,0,0,0,0,35,"1,750","8,000",250,16,115,"3,000",,,
,,3,Emergent Watchman,F,0,0,-3,0,35,"1,925","5,000",275,12,95,"2,000",,,
,Trigger,1,Awakened Watchman,C,0,0,-6,0,150,"1,400","30,000",200,31,266,"8,750",,,
,Wave 2,,,,,3,,,,,,,152,"1,352","42,233",,,
,,3,Emergent Escort,F,0,1,0,0,35,"2,100","5,000",300,23,163,"1,300",,,
,Trigger,2,Awakened Patroller,C,0,0,0,0,150,"1,190","15,000",170,42,432,"19,167",,,
,Wave 3,,,,,,-30,,,,,,155,"1,330","43,750",,,
,,5,Awakened Watchman,C,0,0,-6,0,150,"1,400","30,000",200,31,266,"8,750",,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Unsecured Perimeter Amplifier,,,,,,,,,,,,,,,,,
,Data Signature,,,,Effect(s),,,,,,Orbit,,,,,,Blue Loot,"$10,200,000"
,,Qty,Sleeper,Class,Scram,Web,Neut,RRep,Sig,Speed,Distance,Velocity,DPS,Alpha,EHP,,ISK/EHP,$114
,Wave 1,,,,,,,,,,,,84,864,"38,333",,,
,Trigger,2,Awakened Patroller,C,0,0,0,0,150,"1,190","15,000",170,42,432,"19,167",,,
