,,,,,,,,,,,,,,,,,,
,Class 2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Forgotten Perimeter Gateway,,,,,,,,,,,,,,,,,
,Relic Signature,,,,Effect(s),,,,,,Orbit,,,,,,Blue Loot,"$19,100,000"
,,Qty,Sleeper,Class,Scram,Web,Neut,RRep,Sig,Speed,Distance,Velocity,DPS,Alpha,EHP,,ISK/EHP,$65
,Wave 1,,,,,,-6,,,,,,200,"1,994","85,417",,,
,,4,Awakened Patroller,C,0,0,0,0,150,"1,190","15,000",170,42,432,"19,167",,,
,Trigger,1,Awakened Watchman,C,0,0,-6,0,150,"1,400","30,000",200,31,266,"8,750",,,
,Wave 2,,,,,,-6,,,,,,283,"3,382","94,000",,,
,,2,Emergent Watchman,F,0,0,-3,0,35,"1,925","5,000",275,12,95,"2,000",,,
,Trigger,1,Sleepless Patroller,B,0,0,0,0,400,735,"19,000",105,258,"3,192","90,000",,,
,Wave 3,,,,,,,,,,,,599,"6,116","113,619",,,
,,4,Emergent Patroller,F,0,0,0,0,35,"1,750","8,000",250,16,115,"3,000",,,
,,1,Sleepless Escort,B,0,0,0,0,400,875,"55,000",125,220,"3,544","61,333",,,
,,1,Sleepless Watchman,B,0,0,0,0,400,630,"65,000",90,314,"2,112","40,286",,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Forgotten Perimeter Habitation Coils,,,,,,,,,,,,,,,,,
,Relic Signature,,,,Effect(s),,,,,,Orbit,,,,,,Blue Loot,"$25,400,000"
,,Qty,Sleeper,Class,Scram,Web,Neut,RRep,Sig,Speed,Distance,Velocity,DPS,Alpha,EHP,,ISK/EHP,$65
,Wave 1,,,,,2,,,,,,,204,"1,851","66,100",,,
,Trigger,2,Emergent Escort,F,0,1,0,0,35,"2,100","5,000",300,23,163,"1,300",,,
,,2,Emergent Patroller,F,0,0,0,0,35,"1,750","8,000",250,16,115,"3,000",,,
,,3,Awakened Patroller,C,0,0,0,0,150,"1,190","15,000",170,42,432,"19,167",,,
,Wave 2,,,,,4,,,,,,,259,"2,378","81,867",,,
,,4,Emergent Escort,F,0,1,0,0,35,"2,100","5,000",300,23,163,"1,300",,,
,Trigger,4,Awakened Patroller,C,0,0,0,0,150,"1,190","15,000",170,42,432,"19,167",,,
,Wave 3,,,,,4,,,,,,,414,"4,302","107,200",,,
,,4,Emergent Escort,F,0,1,0,0,35,"2,100","5,000",300,23,163,"1,300",,,
,,4,Emergent Patroller,F,0,0,0,0,35,"1,750","8,000",250,16,115,"3,000",,,
,Trigger,1,Sleepless Patroller,B,0,0,0,0,400,735,"19,000",105,258,"3,192","90,000",,,
,Wave 4,,,,,3,,,,,,,478,"4,884","137,067",,,
,,3,Emergent Escort,F,0,1,0,0,35,"2,100","5,000",300,23,163,"1,300",,,
,,2,Awakened Escort,C,0,0,0,0,150,980,"45,000",140,55,386,"12,000",,,
,,1,Awakened Patroller,C,0,0,0,0,150,"1,190","15,000",170,42,432,"19,167",,,
,,1,Sleepless Patroller,B,0,0,0,0,400,735,"19,000",105,258,"3,192","90,000",,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Perimeter Checkpoint,,,,,,,,,,,,,,,,,
,Anomaly,,,,Effect(s),,,,,,Orbit,,,,,,Blue Loot,"$12,900,000"
,,Qty,Sleeper,Class,Scram,Web,Neut,RRep,Sig,Speed,Distance,Velocity,DPS,Alpha,EHP,,ISK/EHP,$52
,Wave 1,,,,,,,,,,,,263,"3,086","85,167",,,
,,2,Vigilant Sentry Tower,T,0,0,0,0,50,0,0,0,52,780,"10,833",,,
